Code,Consignee Name,Customs Importer Classification,Primary Address,Delivery Address,primary_address,Primary Contact,Default UNLOCO
IMXEURMNL,IMX-EUROPACIFIC INDUSTRIES CORPORATION,,,,,,PHMNL
NOWINTBON,"NOWGO INTERNATIONAL CO.,LTD",,,,,,CNBON
KIWINTCPH,KIWI INTERNATIONAL A/S,,,,,,DKCPH
DARCONDVO,DARIV CONSTRUCTION SRVICES,,,,,,PHDVO
SPXCOOMKC,"SPX COOLING TECH , LLC",,,,,,USMKC
NESEXPSEL,"NESURA EXPRESS CO., LTD",,,,,,KRSEL
ONTIMEMNL,ON TIME MFG INC.,,,,,,PHMNL
SGKAIRMNL,SG KAIROS,,,,,,PHMNL
SUPERPMEL,SUPERPOP,,,,,,AUMEL
TOTBRAMNL,TOTAL BRAND ACTIVATION PHILIPPINES INC,,,,,,PHMNL
ABSSTOILM,ABSOLUTE STONE CORPORATION,,,,,,USILM
IROINDMNL,IROC INDUSTRIAL SALES AND SERVICES INC.,,,,,,PHMNL
EZOLOGLAX,"EZOCEAN LOGISTICS (USA), INC.",,,,,,USLAX
ENERGIMOD,ENERGIEKER,,,,,,ITMOD
SANTRAKTM,SANTONZA TRADE CONCERN PVT LTD,,,,,,NPKTM
SUNHOMHKG,"SUNVISION HOME APPLIANCES (H.K.)CO., LIMITED",,,,,,HKHKG
NAVFLCJFK,NAVSUP FLC SITE SUBIC LSR,,,,,,PHSFS
ALBVARJBK,ALBATRANS INC. C/O VARIOUS SUPPLIES,,,,,,USJBK
THLGOUYVR,THL GOURMET FOODS INC.,,,,,,CAVAN
CARFARNYC,CARRINGTON FARMS,,,,,,USNYC
FLUENEPIB,"FLUENCE ENERGY GLOBAL PRODUCTION OPERATION, LLC",,,,,,USURE
PMFKUEMNL,PMFTC INC. C/O KUEHNE NAGEL,,,,,,PHMNL
EURWATSIN,EUROTEC WATER PTE LTD,,,,,,SGSIN
ALLSTAMNL1,ALL-STAR INDUSTRIAL TRADING,,,,,,PHMNL
10DOIGLIL,10 DOIGTS,,,,,,FRLLE
NATBOOMNL1,NATIONAL BOOK DEVELOPMENT BOARD,,,,,,PHMNL
CROLIFMNL,CROWN LIFT TRUCKS PHILIPPINES CORP.,,,,,,PHMNL
YANBENYTY,"YANGZHOU BENEPACK CO.,LTD.",,,,,,CNYZH
ACMUNICLT,ACME UNITED CORPORATION,,,,,,USCLT
RUNTHAKCB,RUNGSAPPATTANA (THAILAND) COMPANY LIMITED,,,,,,THKCB
UNCHREBL,UNCHR,,,,,,IQEBL
KAGLOGSEK,KAGAYAKU LOGISTICS (M) SDN.BHD,,,,,,MYSEK
VOSBEENSA,VOSSLOH BEEKAY CASTINGS LIMITED,,,,,,INNSA
REBGLOMNL,REBISCO GLOBAL FOOD VENTURES INCORPORATED,,,,,,PHMNL
GZTTELGDN,GZT TELEKOM-TELMOR SP Z.O.O,,,,,,PLGDN
FAMCIRDVO,FAMILY CIRCUS CHILDREN'S MINISTRIES INTERNATIONAL INC,,,,,,PHDVO
GERRESCVE,GERLIE RESMUNDO,,,,,,PHCVE
WUYXIHQGY,"WUYI XIHAO TRADE & INDUSTRY CO., LTD",,,,,,CNQGY
PAIEYELAX,PAIR EYEWEAR,,,,,,USLAX
SUZMOTCAU,SUZUKI MOTOR DE COLOMBIA S.A.,,,,,,COCAU
SEOKNAMNL,"SEOKNAM, INC.",,,,,,PHMNL
SHILOGIAH,SHIPPING LOGISTICS,,,,,,USHOU
RESINTMNL,RESCON INTERNATIONAL,,,,,,PHMNL
KORTOUAFE,KOREA TOURISM ORGANIZATION MANILA OFFICE,,,,,,PHMNL
ASPEBEHAM,ASP-EBERLE E.K,,,,,,DEHAM
FICAUTBCN,"FICOSA AUTOMOTIVE, S.L.U",,,,,,ESBCN
ANGMANSIN,ANGEL MANUFACTURING SINGAPORE PTE. LTD.,,,,,,SGSIN
CCOCONSYD,C COCONUT WATER PTY LTD,,,,,,AUSYD
LUFTECMUC,LUFTHANSA TECHNIK LOGISTICS SERV,,,,,,DEMUC
LAMSANSKU,LAMSAN INC.,,,,,,PHSKU
FILGENMNL1,FILTERTECH GENERAL TRADING,,,,,,PHMNL
HOLPHITAU,"HOLCIM PHILIPPINES, INC.",,,,,,PHTAU
ANNPAUMNL,ANN PAULINE D. ALMAS,,,,,,PHMNL
VIVPLUSEL,VIVID PLUS,,,,,,KRSEL
IFXFREDXB,IFX FREIGHT AND LOGISTICS LLC,,,,,,AEDXB
SILPRETPE,SILICONWARE PRECISION INDUSTRIES CO LTD,,,,,,TWTPE
MARCONCEB,MARJUV CONSUMER GOODS TRADING,,,,,,PHCEB
SUNTRADOH,SUNRISE TRADING & FOOD STUFF CO.,,,,,,QADOH
DEFDEPSFO,DEFENSE DEPOT SAN JOAQUIN,,,,,,USSFO
ARTFAIMNL,ART FAIR PHILIPPINES,,,,,,PHMNL
EURSPIMNL,EURO SPICE AND INGREDIENTS INC.,,,,,,PHMNL
TACCORMNL,TACTICAL CORNER INC,,,,,,PHMNL
UNIINDMNL1,UNIQUEV INDUSTRIAL CORPORATION,,,,,,PHMNL
THREETSGN,THREETEE HOLDING LTD,,,,,,VNSGN
NIKLEAMNL1,"NIKKEN LEASE KOGYO CO., LTD.",,,,,,PHMNL
NASTECMTE,NASSAR TECHNO GROUP,,,,,,LBMTE
GREIMPSTO,GREB IMPORT,,,,,,SESTO
KCCOTTMNL,KC COTTRELL CO LTD,,,,,,PHMNL
NAYPALCEB,NAY PALAD HIDEAWAY,,,,,,PHCEB
STEPHIQZT,STECONFER PHIL. CORPORATION,,,,,,PHQZT
MANPENMNL,"MANILA PENINSULA HOTEL, INC",,,,,,PHMNL
GYEYACICN,GYEONGNAM YACHT FEDERATION,,,,,,KRICN
EKAFLUBAB,EKATO FLUID GMBH,,,,,,DEBAB
SELDESLAX,SELINDRA DESIGN INC,,,,,,USLAX
JOEVCE,JOE & CO. SRL,,,,,,ITVCE
COMPACSIN,COMPACK SINGAPORE PTE LTD,,,,,,SGSIN
BINACCGOA,BINACCHI & CO,,,,,,ITGOA
YAMMOTGRU,"YAMAHA MOTOR ASIAN CENTER CO., LTD",,,,,,BRGRU
CJULHEHAM,C. JUL. HERBERTZ GMBH,,,,,,DEHAM
GOLLINDXB,THE GOLDEN LINE,,,,,,AEDXB
ASIAERMNL1,ASIAN AEROSPACE,,,,,,PHMNL
MUHHILDUS,MUHLINGHAUS & HILDESHEIM,,,,,,DEDUS
DAIWATAFE,DAIWATECH CO LTD,,,,,,JPTYO
COUFROMNL,COURIER FROM SINGAPORE,,,,,,PHMNL
APPLETATL,APPLETON GROUP,,,,,,USATL
SHACONMNL,"SABLAYAN, SHANNEN DIZON",,,,,,PHMNL
CHOONEALM,CHOSEN ONE LAND DEV'T CORPORATION,,,,,,PHALM
TECINTIAH,TECHTRANS INTERNATIONAL,,,,,,USHOU
UNITETMNL,UNITETRIS CORPORATION,,,,,,PHMNL
CLEEDGMNL,CLEAR EDGE PRIME BUILDERS INC,,,,,,PHMNL
IBCKITMNL,IBCOM KITCHEN EQUIPMENT MANILA INC.,,,,,,PHMNL
JIAHIGNKG,JIANGSU HIGH HOPE INTERNATIONAL GROUP,,,,,,CNNJI
KAIAKTMNL,KAI AKTIV WEAR MANUFACTURING CORP.,,,,,,PHMNL
GOLWINMNL1,"GOLDEN WINES, INC.",,,,,,PHMNL
VIRFARCEB,VIRGINIA FARMS INC.,,,,,,PHCEB
KONINTMNL,KONNET INTERNATIONAL (PHILIPPINES) INC.,,,,,,PHMNL
BATPAGGOA,BATTIONI PAGANI POMPE SPA,,,,,,ITGOA
KNKINTICN,"KNK INTERNATIONAL CO., LTD.",,,,,,KRICN
MAELOGBKK,"MAERSK LOGISTICS & SERVICES (THAILAND) CO.,LTD.",,,,,,THBKK
SMYCZENUE,SMYCZEK GMBH & CO KG,,,,,,DENUE
UNIELEMNL1,"UNITED ELECTRICAL SPECIALISTS, INC.",,,,,,PHMNL
SUMSTRMNL,SUMMIT STRAPPING CORPORATION,,,,,,PHMNL
HOSENTMNL1,HOSPITALITY ENTERPRISE RESOURCES CORPORATION (A FILINVEST SUBSIDIARY),,,,,,PHMNL
L3MEDIXSJ,L3 MEDICAL,,,,,,FRXSJ
CRAMULSAO,CRAFT MULTI,,,,,,BRSAO
BESBETJHB,BEST-BETECK FURNITURE SDN BHD,,,,,,MYJHB
THEHEAPHU,THERMOFIN HEAT EXCHANGER (PINGHU) CO.LTD.,,,,,,CNPHU
RODSAGDVO,RODS SAGITTARIUS DRY GOODS TRADING,,,,,,PHDVO
XUDPHICVE,XUDONG PHILIPPINES INC,,,,,,PHCVE
FATRICMNL,FATHER RICKY MONTANEZ,,,,,,PHMNL
TRAEXPAMD,TRANSLOG EXPRESS PVT.LTD.,,,,,,INAMD
UPTPLADVO,UPTOWN PLAZA CORP.,,,,,,PHDVO
SINWHOYYC,SINAG WHOLESALE ORIENTAL STORE INC.,,,,,,CACAL
WAKLUCRK,WAKLU INC,,,,,,PHCRK
NEOASIBKK,"NEOPERL ASIA PACIFIC CO., LTD.",,,,,,THBKK
TOPSCITPE,"TOPCO SCIENTIFIC CO., LTD.",,,,,,TWTPE
ALSTRALIL,ALSTOM TRANSPORT S.A.,,,,,,FRLLE
HEMSCIBEB,HEMSCIA LTD,,,,,,MUBEB
KINPETDLC,"KIND PET PRODUCTS (DALIAN) CO., LTD",,,,,,CNDAL
DFARTAAFE,DF ART AGENCY INC.,,,,,,PHMNL
MSMSERAFE,"MSM SERVICES, S.R.O.",,,,,,ATVIE
FICNORBNA,FICOSA NORTH AMERICA CORP.,,,,,,USBNA
ARCTECMNL1,ARCHEN TECHNOLGIES INC.,,,,,,PHMNL
SWSSALBKK,SWS SALES & MARKETING THAILAND CO. LTD,,,,,,THBKK
FRAAUSMEL,FRANKE AUSTRALIA PTY LTD,,,,,,AUMEL
FAREASMNL1,"FAR EAST INDUSTRIAL SUPPLY AND CO., INC",,,,,,PHMNL
FUJTRETPE,"FUJIN TREE CULTURAL CREATIVE & TECHNOLOGY CO., LTD.",,,,,,TWTPE
WELCOMMNL1,WELLSPRING COMMERCIAL OPC,,,,,,PHMNL
IVFCPHAFE,IVF TECH APS,,,,,,DKCPH
SCCASTMNL,"CASTRO, SHIRLEY CARVERO",,,,,,PHMNL
NECKIMIST,NECM KIMYA (BIORAD),,,,,,TRIST
BEANLAMNL,"BEANLAB, INC.",,,,,,PHMNL
OCEINTMGA,OCEANICA INTERNACIONAL S.A,,,,,,NIMGA
GOKMARMAA,GOKULAM MARINE EXPORT PRIVATE LIMITED,,,,,,INMAA
VINAUTMNL,VINFAST AUTO PHILIPPINES CORP,,,,,,PHMNL
MIDEASCAI,MIDDLE EAST TRADING COMPANY,,,,,,EGCAI
SINCOLLOS,SINAI COLLATERALS LIMITED,,,,,,NGLOS
DIVIRVMNL,DIVINA IRVIN,,,,,,PHMNL
TOORDEBAH1,TO THE ORDER OF AL SALAM BANK B.S.C.,,,,,,BHBAH
MONINTBKK,MONDELEZ INTERNATIONAL (THAILAND) CO.LTD,,,,,,THBKK
CACPHIMNL,AUMOVIO COMPONENTS PHILIPPINES INC,,,,,,PHMNL
NORFIEMNL1,NORTH FIELD TRUCKING SERVICES,,,,,,PHMNL
GEOMACMNL,GEOMACHINE CO.,,,,,,PHMNL
GUIBERMNL1,GUILL-BERN CORPORATION,,,,,,PHMNL
BIDLTDSIN,BIDFOOD SINGAPORE PTE LTDD,,,,,,SGSIN
LUBELENUE,LUBERG-ELEKTRONIK GMBH & CO.,,,,,,DENUE
THUVENBCD,THUNNIDAE VENTURE CORPORATION,,,,,,PHBCD
RIXONAVEN,RIXONA B.V.,,,,,,NLVEN
ALLBAUMNL,ALLGEMEINE BAU CHEMIE PHIL. INC,,,,,,PHMNL
ENIWETIAH,ENIWETOK GROUP LLC,,,,,,USHOU
VISRXLCCU,VISION RX LAB PVT LTD,,,,,,INCCU
AGXEXPPPA,AGX EXPRESS PHILIPPINES INC.,,,,,,PHPPA
CONLOGMNL,CONTINENTLINE LOGISTICS,,,,,,PHMNL
SOLGOSEA,"SOL-GO, INC.",,,,,,USSEA
NESAUSSYD,NESTLE AUSTRALIA,,,,,,AUSYD
PANPOWMNL,PANAY POWER,,,,,,PHMNL
GAREQUBOM,GARTECH EQUIPMENTS PVT LTD,,,,,,INBOM
INTLOGBAV,INTERNATIONAL LOGISTIC GATEWAY S.R.O.,,,,,,CZBAV
TECWORNUE,TECTRON WORBIS GMBH,,,,,,DENUE
NEWFOOMNL1,NEW FOOD COATINGS (PHILIPPINES) INCORPORATED,,,,,,PHMNL
HICSTOLAX,HIC STONE US INCORPORATION,,,,,,USLAX
TABINCMNL,TABACALERA INCORPORADA,,,,,,PHMNL
SHEBRIAFE,"SHENZHEN BRILLIANT EXHIBITION SERVICE CO.,LTD",,,,,,CNSZX
LINGULMNL,LINA GULLE,,,,,,PHMNL
IGPENGMAA,M/S. IGP ENGINEERS PVT LTD.,,,,,,INMAA
REDWINMNL,REDANDWHITE WINE INC.,,,,,,PHMNL
VJKINTDVO,VJK INTERNATIONAL IMPEX CORPORATION,,,,,,PHDVO
PREASICHG,PRESSTI ASIA SINGAPORE PTE LTD,,,,,,SGCHG
GARMAICGK1,PT GARUDA MAINTENANCE FACILITY AEROASIA,,,,,,IDCGK
KINELEMNL1,KINPO ELECTRONICS PHILIPPINES INC,,,,,,PHMNL
DELTAMAFE,DELTAMAN,,,,,,PHMNL
DKTHEAMNL,"DKT HEALTH, INC.",,,,,,PHMNL
SHIFUJMNL,SHIMIZU-FUJITA-TAKENAKA-EEI JOINT VENTURE,,,,,,PHMNL
FREEXPMEA,FREIGHT EXPERT,,,,,,FRMEA
GOLPOWAFE,GOLDLINK POWER JIANGSU CO LTD,,,,,,CNCZX
FAIKNIMNL,"FAIRLAND KNITCRAFT CO., INC.",,,,,,PHMNL
MAGBESMNL,MAGAPIT BESS SITE,,,,,,PHMNL
RANCONMNL,RANNS CONSUMER GOODS TRADING,,,,,,PHMNL
EATYALYHM,EATON YALE CO.,,,,,,CAHAM
HERITASEL,HERITAGE,,,,,,KRSEL
KEMKITHKG,KEMPLION KITCHENWARE COMPANY LIMITED,,,,,,HKHKG
ITLFRESGN,ITL FREIGHT MANAGEMENT JOINT STOCK COMPANY,,,,,,VNSGN
DSVAIRMNL1,DSV AIR & SEA INC.,,,,,,PHMNL
NORHONHKG,NORMET HONGKONG LTD.,,,,,,HKHKG
ELEMOTBHT,ELECTRO MOTO PTY LTD,,,,,,AUBHT
AMMANJKT,PT AMMAN,,,,,,IDJKT
BUCPACSAV,BUCKEYE PACI4FIC LLC,,,,,,USSAV
NGITECAAFE,NGINES TECHNOLOGY INC,,,,,,PHMNL
AENTSCN,"AENT CO., LTD",,,,,,KRSCN
DATACEMNL,DATACENTRIC CORPORATION,,,,,,PHMNL
PALHEAJAI,PALADDIN HEALTHCARE PVT. LTD.,,,,,,INJAI
HOPTIESGN,HOP TIEN TECHNOLOGY ENGINEERING CO LTD,,,,,,VNSGN
RAPMPHAFE,RAPHE MPHIBR PVT LTD,,,,,,INBOM
DJMGRAMNL,DJM GRANDEUR CORPORATION,,,,,,PHMNL
SHYLOGROZ,SHYPPLE LOGISTICS B.V.,,,,,,NLROZ
EFLGLOBRU,EFL GLOBAL - BELGIUM,,,,,,BEBRU
HELPERDXB,HELIOS PERFUMES & COSMETICS LLC,,,,,,AEDXB
FDCMISMNL,FDC MISAMIS POWER CORPORATION,,,,,,PHMNL
FENOUTHAM,FENIX OUTDOOR LOGISTICS GMBH,,,,,,DEHAM
FLORARREC,FLORARTE,,,,,,BRREC
EURCARMNL1,EURO-CARE PRODUCTS PHILS.,,,,,,PHMNL
BRUENGBWN,"BRUNEI ENGINEERING, LOGISTIC AND TRAINING SOLUTIONS (BELTS) SDN BHD",,,,,,BNBWN
LUXPHIMNL1,"LUXEASIA, INC (PHILIPPINES)",,,,,,PHMNL
BASRAIMNL,BASILIO RAINIER SANTOS,,,,,,PHMNL
SUPPHIMNL1,SUPPORTWARE PHILLIPINES INC.,,,,,,PHMNL
KUWTECKWI,KUWAIT TECHNET COMPANY,,,,,,KWKWI
COUNOVSIN,COURTYARD SINGAPORE NOVENA,,,,,,SGSIN
SANMIGMNL4,"SMGP BESS POWER INC.(FORMERLY: UNIVERSAL POWER SOLUTION, INC.)",,,,,,PHMNL
RAMSCOMNL,RAMP-S CORP,,,,,,PHMNL
TLHHOUCEB,TLH HOUSEHOLD GOODS TRADING,,,,,,PHCEB
ISLCONMNL,"SARTE, JOEY PERALTA",,,,,,PHMNL
TRADECMEM,TRADECIE LLC,,,,,,USMEM
BDSMEDMNL,BDSCIENTIA MEDICAL AND DIAGNOSTICS SUPPLIES INC.,,,,,,PHMNL
SHATHISHA,"SHANGHAI THINKTANK PROCESS MANAGEMENT CO., LTD.",,,,,,CNSGH
NEWINDMNL1,"SALVADOR, LESTER MALICDEM",,,,,,PHMNL
CORWONMNL,CORINNE WONG,,,,,,PHMNL
AJSBUIMNL,"CASTILLO,ABRAHAM NERO DIONIDO",,,,,,PHMNL
ARNARTAFE,ARNDT ART AGENCY,,,,,,DEBER
DRADURZLO,DRAKA DURANGO S. DE R.L DE C.V,,,,,,MXZLO
DENCUAANT,DENI CUAYO,,,,,,PHANT
CEBIWACEB1,CEBU IWAKAMI INC,,,,,,PHCEB
GEOSFELEH,GEOSFER LIMITED,,,,,,FRLEH
DESQUAMXP,DESIGN QUALITY MANUFACTURING SPA,,,,,,ITMXP
RELEXBSL,RELEX AG,,,,,,CHBSL
VINBODALC,VINAELENA BODEGAS,,,,,,ESALC
FOSSANSZX,"FOSHAN SANSHUI EN-SNOW FOODS CO., LTD.",,,,,,CNSZX
ANNNINAMS,ANNA + NINA B.V,,,,,,NLAMS
MENENGCEB,MEN ENGINEERING SERVICES & TECHNOLOGY SYSTEM,,,,,,PHCEB
SONEPASIN,SONEPAR SINGAPORE PTE. LTD.,,,,,,SGSIN
BIZTECBEG,BIZLINK TECHNOLOGY SRB D.O.O.,,,,,,RSBEG
NGOKATMNL,NGO KATHERINE CHING,,,,,,PHMNL
ROLMOLMNL,ROLANDO MOLON MANALO,,,,,,PHMNL
PROWORNVD,PROGLO WORLD,,,,,,USNVD
DELMONMWT,DEL MONTE INTERNATIONAL GMBH- BARBADOS BRANCH,,,,,,BRMWT
PHIAIRMNL1,"PHILIPPINE AIRLINES, INC.",,,,,,PHMNL
ASHTABAKL,ASHTABULA,,,,,,NZAKL
HAUVERNUE,HAUG VERTRIEBS GMBH & CO. KG,,,,,,DENUE
REASCMCAN,"REALOGISTICS SCM (GUANGZHOU) CO.,LTD",,,,,,CNGGZ
DSCABLHKG,D AND S CABLE INDUSTRIES (HK) LTD.,,,,,,HKHKG
RUISINHAM,RUISINGER GMBH & CO. KG,,,,,,DEHAM
FFWHOLMEL,FF WHOLESALE PVT LTD,,,,,,AUMEL
SEAFOOMNL,SEACHAMP FOODS CORPORATION,,,,,,PHMNL
NOALOGAUH,NOATUM LOGISTICS (MIDDLE EAST),,,,,,AEAUH
FIMERRMI,FIMER SPA,,,,,,ITRMI
PENBUIMNL,PENTAGON BUILDING SYSTEMS CORPORATION,,,,,,PHMNL
LTSMARMFM,LT SMART LIMITED,,,,,,MOMFM
MECINDMNL,MECHSYS INDUSTRIAL CORP.,,,,,,PHMNL
ARIPHIAFE,ARISTOCRAT( PHILIPPINES) PYT LTD,,,,,,PHMNL
DERBYPTY,DERBY S.A.,,,,,,PAPTY
INTMICMEX,INTEGRATED MICRO-ELECTRONICS MÉXICO S.A.P.I DE C.V | MÉXICO (IMI 1,,,,,,MXMEX
FURCORMNL,FURNICHE CORP.,,,,,,PHMNL
JLAICHMNL,J-LAI CHEMICAL CORPORATION,,,,,,PHMNL
FOAMXP,FOA SRL,,,,,,ITMXP
TUSTURAFE,TUSAS TURK HAVACILIK VE UZAY SANAYI A.S.,,,,,,TRANK
KLACOC,KLASSIC COCONUT VAN AMERONGEN & SON INC.,,,,,,CAVAN
HEWCOKOCT,HEWITECH GMBH & CO.KG,,,,,,DEOCT
BINGLOJKT,PT. BINA GLOBAL TRANSPORT,,,,,,IDJKT
PROCLECPT,PRONTO CLEARING CC,,,,,,ZACPT
FB5FB5KCZ,FB5270 FB5270 18 LRS LGRDCC,,,,,,JPKCZ
SHEJINSZX3,"SHENZHEN JINZHIQUAN IMPORTS & EXPORTS CO., LTD.",,,,,,CNSNZ
WERHOORTM,WERKMAN HOOFCARE,,,,,,NLRTM
BERTOLRNE,BERTOLI,,,,,,ITRNE
ANKAVIMNL,ANKALAYA AVIATION SERVICES INC.,,,,,,PHMNL
ONETOPMNL1,ONE TOP MEDICAL SYSTEMS RESOURCES,,,,,,PHMNL
HERPASMNL,HERONIO PASCO C/O SORIAMONT STEAMSHIP AGENCIES INC,,,,,,PHMNL
ABIACOMNL,"BIACO, ALEXER DE TOMAS",,,,,,PHMNL
USDEPAGUM,US DEPARTMENT OF STATE,,,,,,GUGUM
IWALOGSIN,IWA LOGISTICS PTE LTD,,,,,,SGSIN
NEPFILAFE,NEP FILM TV & RADIO PRODUCTION SERVICES L.L.C,,,,,,AEDXB
PEAPRENDA,PEARL PRECISION PRODUCTS PVT LTD.,,,,,,INNDA
NORGALARN,NORDISKA GALLERIET GOTEBORG,,,,,,SEARN
ROBBOSCHS,ROBERT BOSCH LLC,,,,,,USCHS
JUNZHOZHE,"JUNHUA ZHONGYI FURNITURE CO.,LTD.",,,,,,CNZHE
QINBAITAOAFE,"QINGDAO BAICHEN HUSBANDRY CO.,LTD.",,,,,,CNQIN
SEBAGRDXB,SEBAT AGRO GENERAL TRADING LLC,,,,,,AEDXB
ABCTERMNL,ABC TERESA MANUFACTURING,,,,,,PHMNL
18DEGRBTG,18 DEGREES BEYOND CO.LTD,,,,,,PHBTG
PHIVALMNL1,PHINOX VALVES & FITTINGS OPC,,,,,,PHMNL
FTGTRAAFE,FTGV TRANSPORT LOGISTICS CARGO,,,,,,MXMEX
MIGTIMMNL,MIGHTY TIMBOS LOVE,,,,,,PHMNL
GOFAIRHRP,GOFOWARD AIRSEA,,,,,,DKHRP
GRAINT2KS,GRAINGER INTERNATIONAL INC. AKA GRAINGER GLOBAL SOURCING,,,,,,US2KS
SURGICMNL1,SURGICAL CORPORATION,,,,,,PHMNL
NIDGRAVIE,NIDEC GRAESSNER AUSTRIA GMBH,,,,,,ATVIE
RECENESEK,RECOVERED ENERGY ENGINEERING SDN BHD,,,,,,MYSEK
TITARMMNL,TITAN ARMORED CARS AND SERVICES INC,,,,,,PHMNL
SECLINMNL1,SECUR LINKS NETWORK AND TECH INC.,,,,,,PHMNL
ECCROSMOW,"ECCO-ROS, LTD",,,,,,RUMOW
CPDTRI,CPDI TRIPP LITE CHICAGO/WOODRIDGE PLANT,,,,,,USCHI
MARCONCEB1,MARINOLD CONSUMER GOODS TRADING,,,,,,PHCEB
JVCKENSIN,JVC KENWOOD SINGAPORE,,,,,,SGSIN
DAEDONDPS,PT. DAE DONG BLIND INDONESIA,,,,,,IDDPS
RIMTRAMLA,RIMUS TRADING AGENCY LIMITED,,,,,,MTMLA
COUFORRBC,COUPLES FOR CHRIST – CANADA,,,,,,CARBC
VIATRIMNL,VIATRIS INC,,,,,,PHMNL
PERROELAX,PERRON ROETTINGER,,,,,,USLAX
AMACARSUB,P.T. AMARTA CARRAGEENAN INDONESIA,,,,,,IDSUB
IMPPROMNL1,IMPENETRA PROTECTION OPC,,,,,,PHMNL
TYSNETDKR,TYSTA NETWORKS,,,,,,SNDKR
BASINDAFE,BASSO INDUSTRY CORP.,,,,,,TWTPE
KIRCARMNL,KIRUBAE CARTOON PACKAGING & METAL FABRICATION,,,,,,PHMNL
SHAORIMNLAFE,SHANGHAI ORIENTAL TEXTILE CORPORATION,,,,,,PHMNL
GLEGEMCEB,GLENN GEMPEROA,,,,,,PHCEB
HEBSHEHES,HEBEI SHENGXIN METAL PRODUCTS CO.LTD.,,,,,,CNHES
JOYANAALW,JOYSON ANAND ABHISHEK SAFETY SYSTEMS PVT. LTD.,,,,,,INALW
HELHKGAFE,HELU-TRANS (HK) PTE LTD,,,,,,HKHKG
ADEFURORD,ADEPT FURNITURE,,,,,,USORD
DEC8SIBKK,"DECOR 8 SIAM CO., LTD",,,,,,THBKK
SHUVIETNT,SHUBDAD (VIETNAM) INDUSTRIAL COMPANY LIMITED,,,,,,VNTNT
ECDAUGMNL1,E.C. DAUGHSON INC.,,,,,,PHMNL
OCEDIVMNL,OCEAN DIVE SUPPLY PHILIPPINES INC,,,,,,PHMNL
BUYDISDVO,"BUYERSLINK DISTRIBUTION, INC.",,,,,,PHDVO
ADVBUIMNL,"ADVANCED BUILDING SOLUTIONS PHILIPPINES, INC.",,,,,,PHMNL
SHEBUIMNL,SHERA BUILDING SOLUTION (PHILIPPINES) CORP.,,,,,,PHMNL
THAINSPTH,THAILAND INSTITUTE OF SCIENTIFIC AND TECHNOLOGICAL RESEARCH,,,,,,THPTH
QINLUOAFE,"QINGDAO LUOBO MACHINERY CO., LTD",,,,,,CNQIN
HONCONCEB,HONORARY CONSULATE OF SWITZERLAND IN CEBU,,,,,,PHCEB
FANLTDUBT,FANEM LTDA,,,,,,BRUBT
REFSUPMNL,REFT SUPPLY AND SERVICES INC.EC INDUSTRIAL,,,,,,PHMNL
TITARMGES,TITAN ARMORED CARS AND SERVICES INC,,,,,,PHGES
CONDOHBUD,CONTINENTAL DOHANYIPARI ZRT.,,,,,,HUBUD
AIRXBEKUL,AIRASIA X BERHAD,,,,,,MYKUL
DAISNAMNL,DAILY SNACKS OPC,,,,,,PHMNL
XIACOMAFE,"XIAMEN COMACCORD LOGISTICS CO.,LTD.",,,,,,CNXIA
YOLINTMNL,YOLI INTERNATIONAL PHILIPPINES DISTRIBUTION INC.,,,,,,PHMNL
MASTOBDAR,"MASTERMIND TOBACCO (T) LTD,",,,,,,TZDAR
AACLIGCEB,AAC LIGHTWEIGHT BLOCK CORPORATION,,,,,,PHCEB
EVEINDMNL1,EVERBRIGHT INDUSTRY CORPORATION,,,,,,PHMNL
GENITSMNL,GENTECH IT SOLUTIONS CORP.,,,,,,PHMNL
LAPEREMNL,"LA PEREGRINA FILIPINA, INC.",,,,,,PHMNL
BANINNBKK,"BANGKOK INNOVATION ZYSTEM CO, LTD",,,,,,THBKK
CARSTRMNL,CARLOS STREEGAN,,,,,,PHMNL
ASICOCCTN,ASIA COCONUT PROCESSING JOINT STOCK COMPANY,,,,,,VNCTN
SILEXPSIN1,"SILK EXPRESS FREIGHT PTE.,LTD",,,,,,SGSIN
BONFINAFE,BONDS FINE ART LOGISTICS COMPANY LIMITED,,,,,,HKHKG
RJREYNRIC,R.J. REYNOLDS TOBACCO COMPANY,,,,,,USRIC
CASCUEMEX,"CASA CUERVO, S.A. DE C.V",,,,,,MXMEX
PHIARTAFE,"PHILIPPINE ART EVENTS, INC.",,,,,,PHMNL
SANJOSDVO,SAN JOSUE REALTY AND DEVELOPMENT CORPORATION,,,,,,PHDVO
HOTINTCEB,HOTWORK INTERNATIONAL INC.,,,,,,PHCEB
POSECSPAM,POSCO E&C SITE,,,,,,PHPAM
REDINGMNL,REDACHEM INGREDIENTS PHILIPPINES INC,,,,,,PHMNL
PANMANMNL1,PANASONIC MANUFACTURING PHILIPPINES CORPORATION,,,,,,PHMNL
ICOPACPET,ICON PACKAGING SDN BHD,,,,,,MYPET
INVSECOLS,INVUE SECURITY PRODUCTS INC.,,,,,,USOLS
BAYINDSUB,PT BAYER INDONESIA,,,,,,IDSUB
UNIILOAFE,UNIVERSITY OF THE PHILIPPINES VISAYAS MIAGAO,,,,,,PHILO
PROFPSCMB,PROJECTS FPS (PVT) LTD.,,,,,,LKCMB
