Type,Description
Home game – Import,Home game – Import
Home game – Re-export,Home game – Re-export
Away game – Export,Away game – Export
Away game – Re-import,Away game – Re-import
Import,Import
Export,Export
On-site handling,On-site handling
Others,Others
