"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"FRAGUZAOI","FRATELLI GUZZINI SPA","","","","","","","","ITAOI"
"MACCHAFOS","MAC CHAIRS AND COMPONENTS CO. LTD,","","","","","","","","CNFOS"
"MSMSERAFE","MSM SERVICES, S.R.O.","","","","","","","","ATVIE"
"FUJHEASUH","FUJIFILM HEALTHCARE MANUFACTURING (SUZHOU) CO.LTD.","","","","","","","","CNSUH"
"ICADECSAL","ICAT, S.A. DE C.V.","","","","","","","","SVSAL"
"TOPMEDWUH","TOPWIN MEDICAL SUPPLY CO., LTD.","","","","","","","","CNNHN"
"SOUHKACAN","SOUNDBOX (HK) ACOUSTIC TECHNOLOGY CO.,LTD.","","","","","","","","CNGGZ"
"ARCTECMNL1","ARCHEN TECHNOLGIES INC.","","","","","","","","PHMNL"
"JEBINTHKG","JEB INTERNATIONAL LIMITED","","","","","","","","HKHKG"
"TCSJOHMKC","TCS JOHN HUXLEY AMERICA, INC.","","","","","","","","USMKC"
"XIADENXMN","XIAMEN DENGDING INTERNATIONAL TRADE CO., LTD.","","","","","","","","CNXMN"
"FAREASMNL1","FAR EAST INDUSTRIAL SUPPLY AND CO., INC","","","","","","","","PHMNL"
"SUNPROSTL","SUNNEN PRODUCTS COMPANY","","","","","","","","USSTL"
"WELCOMMNL1","WELLSPRING COMMERCIAL OPC","","","","","","","","PHMNL"
"ALPINTTSN","ALPINTER SA","","","","","","","","CNTNJ"
"IVFCPHAFE","IVF TECH APS","","","","","","","","DKCPH"
"GREAGRCEB","GREENVILLE AGRO CORPORATION","","","","","","","","PHCEB"
"GRAINGUGN","GRAINGER","","","","","","","","USUGN"
"KHAMTPE","KHAM INC.","","","","","","","","TWTPE"
"NECKIMIST","NECM KIMYA (BIORAD)","","","","","","","","TRIST"
"WUJEVESHG","WUJIANG EVERGREEN EX/IM CO., LTD.","","","","","","","","CNSHG"
"BEANLAMNL","BEANLAB, INC.","","","","","","","","PHMNL"
"NUMCHAATL","NUMOTION-CHARLOTTE","","","","","","","","USATL"
"SALMISNYC","SALESIAN MISSIONS","","","","","","","","USNYC"
"DELMIDDXB","DELTACHEM MIDDLE EAST LLC","","","","","","","","AEDXB"
"SWRLON","SWR LTD.","","","","","","","","GBLON"
"CIVARMPWM","CIVIL ARMS INC","","","","","","","","USPWM"
"BIOCARTYN","BIOCARE CORPORATION","","","","","","","","TWTYN"
"SHAHORSHG","SHANDONG HORNLION ENGINEERING MACHINERY","","","","","","","","CNSHG"
"DIVIRVMNL","DIVINA IRVIN","","","","","","","","PHMNL"
"GUAJIUCAN","GUANGZHOU JIUTAI BIO-TECHNOLOGY CO.,LTD","","","","","","","","CNGGZ"
"FLEXCOSYD","FLEXCO (AUST) PTY. LTD.","","","","","","","","AUSYD"
"PERASISHA","PERICOLI ASIA PACIFIC SDN BHD","","","","","","","","MYSHA"
"MINCHIHKG","MINIMAX CHINA FIRE PROTECTION SYSTEM CO.,LTD","","","","","","","","HKHKG"
"MONINTBKK","MONDELEZ INTERNATIONAL (THAILAND) CO.LTD","","","","","","","","THBKK"
"PACFURSRG","PT. PACIFIC FURNITURE","","","","","","","","IDSRG"
"NORFIEMNL1","NORTH FIELD TRUCKING SERVICES","","","","","","","","PHMNL"
"GEOMACMNL","GEOMACHINE CO.","","","","","","","","PHMNL"
"SHAYUGQDG","SHANDONG YUGONG INTELLIGENT EQUIPMENT","","","","","","","","CNQDG"
"QUZSANQZS","QUZHOU SANYUANHUINENG INTERNATIONAL TRADING CO. LTD.","","","","","","","","CNQZS"
"GUIBERMNL1","GUILL-BERN CORPORATION","","","","","","","","PHMNL"
"LUBELENUE","LUBERG-ELEKTRONIK GMBH & CO.","","","","","","","","DENUE"
"HEITRAAYU","HEIL TRAILER ASIA LIMITED","","","","","","","","THAYU"
"NEOTECBRJ","NEOTEC","","","","","","","","FRBRJ"
"RIXONAVEN","RIXONA B.V.","","","","","","","","NLVEN"
"POWROOJHB","POWER ROOT MANUFACTURING SDN BHD","","","","","","","","MYJHB"
"CERIOTPE","CERIO CORPORATION","","","","","","","","TWTPE"
"TCOMONNUE","TCO MONACO","","","","","","","","DENUE"
"QINYUBQDG","QINGDAO YUBELLES HOUSEHOLD PORDUCTS CO., LTD.","","","","","","","","CNQDG"
"KAIPACXMN","KAIZHENG PACKAGING TECHNOLOGY (GUANGDONG) CO.,LTD.","","","","","","","","CNXAM"
"JMTLEASIN","JMT LEATHER PTE. LTD","","","","","","","","SGSIN"
"MSIDEFAFE","MSI DEFENCE SYSTEMS LTD.","","","","","","","","GBLHR"
"OUTINDBLR","OUTSHINY INDIA PVT LIMITED","","","","","","","","INBLR"
"CONLOGMNL","CONTINENTLINE LOGISTICS","","","","","","","","PHMNL"
"HUNSHUCSX","HUNAN SHUANGLIN COMMUNICATION TECHNOLOGY INC.","","","","","","","","CNCSH"
"HANBSUMNL","HANBIN SU","","","","","","","","PHMNL"
"ZHOSHIZSN","ZHONGSHAN SHINING LIGHTING TECH CO., LTD","","","","","","","","CNZSN"
"DLADISSEA","DLA DIST SAN JOAQUI CA","","","","","","","","USSEA"
"ABSYAPISL","ABS YAPI ELEMANLARI SANAYI TICARET LTD. STI","","","","","","","","TRIST"
"EVECOLSEL","EVERCOS CO.,LTD","","","","","","","","KRSEL"
"PANPOWMNL","PANAY POWER","","","","","","","","PHMNL"
"GAREQUBOM","GARTECH EQUIPMENTS PVT LTD","","","","","","","","INBOM"
"INTLOGBAV","INTERNATIONAL LOGISTIC GATEWAY S.R.O.","","","","","","","","CZBAV"
"SUNLOGMNL","SUNBO LOGISTICS PHILIPPINE, INC","","","","","","","","PHMNL"
"BATMEMSEA","BATTELLE MEMORIAL INSTITUTE","","","","","","","","USSEA"
"LISTELSET","LISTEL SAS","","","","","","","","FRSET"
"HUSLEASKT","HUSSAIN LEATHER INDUSTRIES (PVT) LTD.","","","","","","","","PKSKT"
"HEFSKYHFE","HEFEI SKYFLY ENTERPRISE CO., LTD.","","","","","","","","CNHFI"
"TECWORNUE","TECTRON WORBIS GMBH","","","","","","","","DENUE"
"HENTAIRZH","HENAN TAIGUO BOILER PRODUCTS CO., LTD.","","","","","","","","CNRZH"
"NINSHICIX","NINGBO SHIBO TRAFFIC FACILITIES CO. ,LTD","","","","","","","","CNCIX"
"SHEBRIAFE","SHENZHEN BRILLIANT EXHIBITION SERVICE CO.,LTD","","","","","","","","CNSZX"
"DSMNUTSIN","DSM NUTRITIONAL PRODUCTS ASIA PACIFIC","","","","","","","","SGSIN"
"ZHOJIAZGA","ZHONGSHAN JIANTAO IMPORT AND EXPORT TRADING CO.,LTD","","","","","","","","CNZGA"
"TECAISHKG","TECNET AISA LIMITED","","","","","","","","HKHKG"
"KEDCEMLGK","KEDAH CEMENT SDN BHD","","","","","","","","MYLGK"
"REDWINMNL","REDANDWHITE WINE INC.","","","","","","","","PHMNL"
"PENTOBMNL","PENTALEAF TOBACCO CORP.","","","","","","","","PHMNL"
"ALBFRAFOS","ALBATRANS FRANCE SARL","","","","","","","","FRFOS"
"ASIBICRMQ","ASIA BICYCLE TRADING COMPANY","","","","","","","","TWTXG"
"HOCOMRSGN","HO-COM RUBBER TECHNOLOGY CO., LTD","","","","","","","","VNSGN"
"NORWENUE","NORWE GMBH","","","","","","","","DENUE"
"PRIMACMNL","PRINCENA'S MACHINE SHOP","","","","","","","","PHMNL"
"SUZWESSUZ","SUZHOU WESHAW EQUIPMENT TECHNOLOGY CO.,LTD.","","","","","","","","CNSUZ"
"WUHYOUSHG","WUHU YOUJU PLASTIC MOULD CO., LTD.","","","","","","","","CNSHG"
"CHECHERMQ","CHENG CHENG KUANG MACHINE CO LTD","","","","","","","","TWTXG"
"MEDDEVLAX","MEDICAL DEVICES INC.","","","","","","","","USLAX"
"VILVALMNL","VILLEGAS, VALENTE PALABRICA","","","","","","","","PHMNL"
"FREEXPMEA","FREIGHT EXPERT","","","","","","","","FRMEA"
"TIDPHIMNL","TIDESOLAR PHILIPPINES CORPORATION","","","","","","","","PHMNL"
"GOLPOWAFE","GOLDLINK POWER JIANGSU CO LTD","","","","","","","","CNCZX"
"FAIKNIMNL","FAIRLAND KNITCRAFT CO., INC.","","","","","","","","PHMNL"
"ELEGERNUE","ELEKTRISOLA DR GERD SCHILDBACH","","","","","","","","DENUE"
"CEBIWACEB","CEBU IWAKAMI","","","","","","","","PHCEB"
"OLYGLODVO","OLYMPUS GLOBAL LOGISTICS INC","","","","","","","","PHDVO"
"GUAMIGCAN","GUANGZHOU MIGE OFFICE FURNITURE CO.,LTD","","","","","","","","CNGGZ"
"MAGBESMNL","MAGAPIT BESS SITE","","","","","","","","PHMNL"
"EATYALYHM","EATON YALE CO.","","","","","","","","CAHAM"
"GENLIGSHK","GENERAL LIGHTING ELECTRONICS CO., LTD.","","","","","","","","CNSHK"
"KEMKITHKG","KEMPLION KITCHENWARE COMPANY LIMITED","","","","","","","","HKHKG"
"GUAHUACAN","GUANGZHOU HUALING REFRIGERATING EQUIPMENT CO.,LTD","","","","","","","","CNGGZ"
"ITLFRESGN","ITL FREIGHT MANAGEMENT JOINT STOCK COMPANY","","","","","","","","VNSGN"
"DSVAIRMNL1","DSV AIR & SEA INC.","","","","","","","","PHMNL"
"JIATRAPVG","JIANGSU TRAUHUI MEDICAL INSTRUMENT CO LTD","","","","","","","","CNPVG"
"CYRILTPE","CYRIL CORPORATION","","","","","","","","TWTPE"
"NGITECAAFE","NGINES TECHNOLOGY INC","","","","","","","","PHMNL"
"AENTSCN","AENT CO., LTD","","","","","","","","KRSCN"
"SOPFORAUH","SOPREMA FOR MANUFACTURING WATERPROOFING MATERIALS LLC","","","","","","","","AEAUH"
"PALHEAJAI","PALADDIN HEALTHCARE PVT. LTD.","","","","","","","","INJAI"
"NITPHABOM","NITIKA PHARMACEUTICAL SPECIALTIES","","","","","","","","INBOM"
"WERMASHA","WERMA (SHANGHAI) CO., LTD.","","","","","","","","CNSGH"
"RAPMPHAFE","RAPHE MPHIBR PVT LTD","","","","","","","","INBOM"
"ZHABAISHA","ZHANGJIAGANG BAISHENG PACKING LIMITED COMPANY","","","","","","","","CNSHA"
"EFLGLOBRU","EFL GLOBAL - BELGIUM","","","","","","","","BEBRU"
"SAVCORMNL","SAVENT CORP","","","","","","","","PHMNL"
"CLASHASZX","CLASQUIN SHANGHAI LTD SHENZHEN BRANCH","","","","","","","","CNSZX"
"DEPOFSSEA","DEPARTMENT OF STATES ST/TO","","","","","","","","USSEA"
"HIPPHOSIN","HIPA PHOTONICS PTE. LTD.","","","","","","","","SGSIN"
"YON178YKN","YONGKANG 1787 IMPORT& EXPORT CO., LTD","","","","","","","","CNYKN"
"FDCMISMNL","FDC MISAMIS POWER CORPORATION","","","","","","","","PHMNL"
"HANSGRHAM","HANSGROHE","","","","","","","","DEHAM"
"SLEMEDWIE","SLEE MEDICAL GMBH","","","","","","","","DEWIB"
"ENEPOWMNL","ENERGY POWER PLANT","","","","","","","","PHMNL"
"BRUENGBWN","BRUNEI ENGINEERING, LOGISTIC AND TRAINING SOLUTIONS (BELTS) SDN BHD","","","","","","","","BNBWN"
"KIDAROMDW","KIDS AROUND THE WORLD","","","","","","","","USCHI"
"SHADAHNTG","SHANGHAI DAHUA PHARMACEUTICAL CO LTD","","","","","","","","CNNTG"
"PERRESHKG","PERMANENT RESIDENT LTD.","","","","","","","","HKHKG"
"SHAPIZMNL","SHAKEY'S PIZZA ASIA VENTURES INC.","","","","","","","","PHMNL"
"ICECABIAH","ICE CABLE SYSTEM","","","","","","","","USHOU"
"SANMIGMNL4","SMGP BESS POWER INC.(FORMERLY: UNIVERSAL POWER SOLUTION, INC.)","","","","","","","","PHMNL"
"XIASHUAFE","XIAMEN SHUANGHE INTERNATIONAL FREIGHT FORWARDING CO.,LTD","","","","","","","","CNHAD"
"ISLCONMNL","SARTE, JOEY PERALTA","","","","","","","","PHMNL"
"BONVIEBDU","BONFIGLIOLI VIETNAM CO., LTD.","","","","","","","","VNBDU"
"KOEBAUFKB","KOENIG & BAUER METALPRINT GMBH","","","","","","","","DEKAE"
"TECALUAJM1","TECHNICAL ALUMINUM FOIL COMPANY LLC (SOLE PROPRIETORSHIP)","","","","","","","","AEAJM"
"SERICVMER","SERSIM IC VE DIS TICARET A.S. KAYSERI SERBEST","","","","","","","","TRMER"
"SHASIMSHA","SHANGHAI SIMCONIX ELECTRONIC CO.LTD.","","","","","","","","CNSGH"
"DONYUNHUZ","DONGGUAN YUNBAI COMMERCIAL AND TRADING CO.,LTD","","","","","","","","CNHUI"
"SHATHISHA","SHANGHAI THINKTANK PROCESS MANAGEMENT CO., LTD.","","","","","","","","CNSGH"
"LEMANAGH","LEMAN AB","","","","","","","","SEHEL"
"NEWINDMNL1","SALVADOR, LESTER MALICDEM","","","","","","","","PHMNL"
"AJSBUIMNL","CASTILLO,ABRAHAM NERO DIONIDO","","","","","","","","PHMNL"
"HAOCANTBH","HAO CANH PORCELAIN PRODUCTION AND TRADING COMPANY LIMITED","","","","","","","","VNTBH"
"MSDMOBIST","MSD MOBILYA TASARIM DEKORASYON","","","","","","","","TRISL"
"ZHELUBNBG","ZHEJIANG LUBA TRAFFIC TECHNOLOGY CO. LTD.","","","","","","","","CNNBG"
"EXALININY","EXAPROBE LINAS","","","","","","","","FRINY"
"ARNARTAFE","ARNDT ART AGENCY","","","","","","","","DEBER"
"YUEYIRNGB","YUEQING YIRUI ELECTRIC APPLIANCE CO. LTD.","","","","","","","","CNNBO"
"DONICTGUT","DONGGUAN ICT TECHNOLOGY CO., LTD.","","","","","","","","CNGUT"
"APLGLOMNL","APLL GLOBAL BUSINESS SERVICES (PHILIPPINES), INC.","","","","","","","","PHMNL"
"TRAINTAMS","TRANSPHARMA INTERNATIONAL B.V","","","","","","","","NLAMS"
"YANOPTSHA","YANGTZE OPTICAL FIBRE AND CABLE (SHANGHAI) COMPANY LTD.","","","","","","","","CNSHA"
"PHIFERATL","PHIFER INCORPORATED","","","","","","","","USATL"
"SHECHUSHK","SHENZHEN CHUNWANG NEW MATERIALS CO., LTD.","","","","","","","","CNSHK"
"BEZSAASPA","BEZARES SA, AVENIDA DE LAS RETAMAS","","","","","","","","ESMAD"
"RELEXBSL","RELEX AG","","","","","","","","CHBSL"
"VINBODALC","VINAELENA BODEGAS","","","","","","","","ESALC"
"NINASKPVG","NINGBO ASK AUTOMOTIVE SOUND AND COMMUNICATION CO.,LTD","","","","","","","","CNPVG"
"RAILOGSZX","RAINBOW LOGISTICS CO., LTD.","","","","","","","","CNSNZ"
"ANNNINAMS","ANNA + NINA B.V","","","","","","","","NLAMS"
"COMTESRMQ","COMETECH TESTING MACHINES CO.,LTD","","","","","","","","TWTXG"
"SONEPASIN","SONEPAR SINGAPORE PTE. LTD.","","","","","","","","SGSIN"
"GUALUCNSA","GUANGZHOU LUCKYSTAR ELECTRONIC TECHNOLOGY CO. LTD.","","","","","","","","CNNSA"
"SUNTELKUV","SUNIL TELECOM CO. LTD","","","","","","","","KRKUV"
"NUTRIBBCN","NUTRIBIOGENICS, S.L.","","","","","","","","ESBCN"
"NGOKATMNL","NGO KATHERINE CHING","","","","","","","","PHMNL"
"ROLMOLMNL","ROLANDO MOLON MANALO","","","","","","","","PHMNL"
"YONGONYKN","YONGKANG GONGWEIYONG TRADING CO. LTD.","","","","","","","","CNYKN"
"BIOCERNUE","BIOCER -GMBH","","","","","","","","DENUE"
"DEDONHAM","DEDON GMBH","","","","","","","","DEHAM"
"WINTROAFE","WINSTON TROYO DELA PAZ","","","","","","","","MYPKG"
"BERORGBOM","BERGWERFF ORGANIC (I) PVT LTD","","","","","","","","INBOM"
"HANTIAHGH1","HANGZHOU TIANRUI PRINTING AND DYEING CO.,LTD","","","","","","","","CNHAZ"
"EQUHEAKUL","EQUITAINE HEALTHCARE SDN BHD","","","","","","","","MYKUL"
"AESSTEBOM","AESTEIRON STEELS LLP","","","","","","","","INBOM"
"HAUVERNUE","HAUG VERTRIEBS GMBH & CO. KG","","","","","","","","DENUE"
"PALVINSGN","PALDO VINA CO LTD","","","","","","","","VNSGN"
"INSVIEHPH","INSTANTA VIETNAM CO.,LTD","","","","","","","","VNHPH"
"DRAPHICEB","DRAKA PHILIPPINES, INCORPORATED","","","","","","","","PHCEB"
"GUAWANXAO","GUANGZHOU WANJU LIGHTING TECHNOLOGY CO. LTD.","","","","","","","","CNXAO"
"JIASINCNZ","JIAXING SINOLAMP ELECTRONIC TECHNOLOGY CO.,LTD.","","","","","","","","CNCNZ"
"REASCMCAN","REALOGISTICS SCM (GUANGZHOU) CO.,LTD","","","","","","","","CNGGZ"
"PIRBICISL","PIRGE BICAK IML ITH IHR SAN TIC LTD STI","","","","","","","","TRIST"
"DSCABLHKG","D AND S CABLE INDUSTRIES (HK) LTD.","","","","","","","","HKHKG"
"ZHETRENBG","ZHEJIANG TREASURELAND AUTO ACCESSORIES CO. LTD.","","","","","","","","CNNBG"
"STACRUCEB1","STA. CRUZ SHELL GALLERY PHILIPPINES INC.","","","","","","","","PHCEB"
"CONVALRMI1","CONTI VALERIO - S.R.L.","","","","","","","","ITRMI"
"FOSSHUFOS1","FOSHAN SHUANGOU CERAMIC CO.,LTD","","","","","","","","CNFOS"
"TUUASISGN","TUUCI ASIA","","","","","","","","VNSGN"
"NEWBESSGN","NEW BEST WIRE VIETNAM INDUSTRIAL CO. LTD.","","","","","","","","VNSGN"
"GUABOTCAN","GUANGZHOU BOTH LIGHTING CO.,LIMITED","","","","","","","","CNCAN"
"ZHAWELNSA","ZHAOQING WELLCAMP BUILDING MATERIALS CO., LTD.","","","","","","","","CNNSA"
"TECASISIN","TECHNIC ASIA-PACIFIC PTE LTD","","","","","","","","SGSIN"
"DACTASISL","DACHI TASARIM DIS TICARET","","","","","","","","TRIST"
"SANMETMNL","SANTINE METAL INDUSTRIES INC.","","","","","","","","PHMNL"
"LTSMARMFM","LT SMART LIMITED","","","","","","","","MOMFM"
"ZHURITTAO","ZHUCHENG RITONG MACHINERY CO.,LIMITED.","","","","","","","","CNTAO"
"ARIPHIAFE","ARISTOCRAT( PHILIPPINES) PYT LTD","","","","","","","","PHMNL"
"INCOLDVCE","INCOLD SPA","","","","","","","","ITVCE"
"BSACVT","BSA COMPANY LTD","","","","","","","","GBCVT"
"RUNSHIBKK","RUN SHINE CO., LTD.","","","","","","","","THBKK"
"SHIAOSNBG","SHIJIAZHUANG AOSE IMP. AND EXP. CO. LTD.","","","","","","","","CNNBG"
"KRACURXLW","KRAFT CURING SYSTEMS GMBH","","","","","","","","DELEW"
"BACSOLBRS","BACHY SOLETANCHE","","","","","","","","GBBRS"
"FURCORMNL","FURNICHE CORP.","","","","","","","","PHMNL"
"TSUKOGMNL","TSUCHIYA KOGYO PHIL., INC.","","","","","","","","PHMNL"
"FOAMXP","FOA SRL","","","","","","","","ITMXP"
"GNPOWEMNL","GN POWER MARIVELES ENERGY CENTER","","","","","","","","PHMNL"
"BMLOGISYD","BM LOGISTICS PTY LTD","","","","","","","","AUSYD"
"HANTRISZV","HANGZHOU TRIFANZ MEDICAL DEVICE CO., LTD","","","","","","","","CNSZH"
"TUSTURAFE","TUSAS TURK HAVACILIK VE UZAY SANAYI A.S.","","","","","","","","TRANK"
"FOCFUSNGB","FOCUS & FUSION HEALTHCARE(HANGZHOU) CO.,LTD.","","","","","","","","CNNBO"
"HEWCOKOCT","HEWITECH GMBH & CO.KG","","","","","","","","DEOCT"
"VINCONKNA","VIÑA CONCHA Y TORO S.A.","","","","","","","","CLKNA"
"ESCSGNAFE","ESCHBACH TANDINH LIMITED","","","","","","","","VNSGN"
"FASLOGDVO","FAST LOGISTIC CORPORATION","","","","","","","","PHDVO"
"HUIBOMSHK","HUIZHOU BOMIE POWER SOURCE SCIENCE & TECHNOLOGY","","","","","","","","CNSHK"
"NBSHIPPUS","NB SHIPPING CO., LTD.","","","","","","","","KRPUS"
"STYLETMNL","STYLETEX CORPORATION","","","","","","","","PHMNL"
"TRECONHKG2","TREVI CONSTRUCTION CO., LTD","","","","","","","","HKHKG"
"NINZHEZHI","NINGBO ZHENHAI WIN-WIN ELECTRONIC APPLIANCES CO.,LTD.","","","","","","","","CNZHI"
"SHEJINSZX3","SHENZHEN JINZHIQUAN IMPORTS & EXPORTS CO., LTD.","","","","","","","","CNSNZ"
"ZMKTECAAH","ZMK TECHNOLOGIES GMBH","","","","","","","","DEAAH"
"GRAMILAFE","GRAFICHE MILANI SPA","","","","","","","","ITGOA"
"COOCELZAZ","COOPER CELLARS SL","","","","","","","","ESZAZ"
"SLMETASIN","SL METALS PTE LTD","","","","","","","","SGSIN"
"ASACOLRMQ","ASADA CO.,LTD.","","","","","","","","TWTXG"
"JIASBATZU","JIANGSU SBA VICTORY SPORTING GOODS CO., LTD","","","","","","","","CNTZU"
"ANKAVIMNL","ANKALAYA AVIATION SERVICES INC.","","","","","","","","PHMNL"
"UNIBELLCH","UNION BELT INDUSTRIES CO., LTD.","","","","","","","","THLCH"
"THA888LCH","THAIROMPOTHONG 888 FRUIT PRODUCT CO., LTD.","","","","","","","","THLCH"
"KOWEMOBTG","KOWA-EMORI PHILIPPINES INC.","","","","","","","","PHBTG"
"101HEAAFE","101 HEALTH RESEARCH","","","","","","","","PHMNL"
"IWALOGSIN","IWA LOGISTICS PTE LTD","","","","","","","","SGSIN"
"EVEASIHKG","EVE ASIA CO., LIMITED","","","","","","","","HKHKG"
"NEPFILAFE","NEP FILM TV & RADIO PRODUCTION SERVICES L.L.C","","","","","","","","AEDXB"
"PEAPRENDA","PEARL PRECISION PRODUCTS PVT LTD.","","","","","","","","INNDA"
"EVEINDMNL","EVERHOPE INDUSTRIAL EQUIPMENT","","","","","","","","PHMNL"
"AMLTECPEN","AMLEX TECHNOLOGY SDN BHD","","","","","","","","MYPEN"
"SUZDAYSHG","SUZHOU DAYER MERCHATRONIC HI-TECH CO. LTD.","","","","","","","","CNSHG"
"JUNZHOZHE","JUNHUA ZHONGYI FURNITURE CO.,LTD.","","","","","","","","CNZHE"
"QINBAITAOAFE","QINGDAO BAICHEN HUSBANDRY CO.,LTD.","","","","","","","","CNQIN"
"FOSYONNSA","FOSHAN YONGNUO TRADING CO., LTD.","","","","","","","","CNNSA"
"18DEGRBTG","18 DEGREES BEYOND CO.LTD","","","","","","","","PHBTG"
"CEBRICCEB","CEBU RICORDI , INC","","","","","","","","PHCEB"
"BIANCCGOA","BIANCHI & C. SRL","","","","","","","","ITGOA"
"SUNPHIMNL2","SUNPOWER PHILIPPINES MANUFACTURING LTD.","","","","","","","","PHMNL"
"PRODEEMAD","PRODUCCION DE EQUIPOS TECHNICOS E INDUSTRIALES S.A.","","","","","","","","ESMAD"
"PHIVALMNL1","PHINOX VALVES & FITTINGS OPC","","","","","","","","PHMNL"
"FTGTRAAFE","FTGV TRANSPORT LOGISTICS CARGO","","","","","","","","MXMEX"
"ROBCONGWA","ROBERTSHAW CONTROLS","","","","","","","","USGWA"
"LATDANAFE","L'ATELIER D'ANTOINE OPC","","","","","","","","PHMNL"
"CASPARPUS","CASPART","","","","","","","","KRPUS"
"LEADESMNL","LEA DESIGN INTERNATIONAL INC.","","","","","","","","PHMNL"
"INTFRESIN","INTERGATEWAY FREIGHT PTE LTD","","","","","","","","SGSIN"
"MODINDDLC","MODULAR INDUSTRIAL AUTOMATION CO.LTD.","","","","","","","","CNDAL"
"SANMANMSP","SANBORN MANUFACTURING","","","","","","","","USMES"
"BAZLICXGA","BAZHOU LICHANG FURNITURE CO., LTD.","","","","","","","","CNXGA"
"NIRCERSGN","NIRO CERAMIC (VIETNAM) COMPANY LIMITED","","","","","","","","VNSGN"
"SANSOUSIN","SANS SOUCI LIGHTING (SINGAPORE) PTE. LTD","","","","","","","","SGSIN"
"POMFOOTPE","POMEI FOOD STUFF CO., LTD","","","","","","","","TWTPE"
"DEFDISLAX1","DEF DIST DEPOT SAN JOAQUIN","","","","","","","","USLAX"
"SHNEMIAFE","SHNAGHAI EMIRAES EXHIBITION CO. LTD","","","","","","","","CNSHA"
"SENTELTPE","SENTELIC CORPORATION","","","","","","","","TWTPE"
"SECLINMNL1","SECUR LINKS NETWORK AND TECH INC.","","","","","","","","PHMNL"
"CHULUNNTC","CHU LUN MACHINERY INDUSTRIAL CORP.","","","","","","","","TWNTC"
"FILCREMNL","FILIPINO CREAZIONE EFLF INCORPORATED","","","","","","","","PHMNL"
"SANFRACDG","SANIFLO FRANCE","","","","","","","","FRCDG"
"DIAVIEBDU","DIAMOND VIETNAM CO., LTD","","","","","","","","VNBDU"
"SHANGTSHA","SHANGHAI G & T CO., LTD.","","","","","","","","CNSGH"
"WETLAX","WET","","","","","","","","USLAX"
"SHEXINSHK1","SHENZHEN XINZHITONG TRADING CO. LTD","","","","","","","","CNSHK"
"STEASIJHB","STERNMAID ASIA SDN BHD","","","","","","","","MYJHB"
"ZHONEWZSN","ZHONGSHAN NEWBEST IMPORT AND EXPORT COMPANY","","","","","","","","CNZSN"
"KSAINTHNJ","KSA INTERNATIONAL INC.","","","","","","","","JPHNJ"
"METALLLON","METALLISATION LIMITED","","","","","","","","GBLON"
"SANSHIMNL","SANDIGAN SHIP SERVICES, INC.","","","","","","","","PHMNL"
"FLUENEMNL1","FLUENCE ENERGY INC","","","","","","","","PHMNL"
"ALLANGHAM","ALLTEC ANGEWANDTE LASERLICHT TECHNOLOGIE GMBH","","","","","","","","DEHAM"
"SIMHSTMUC","SIMON H STEINER HOPFEN GMBH","","","","","","","","DEMUC"
"INFITETAO","INFITEK CO. LTD.","","","","","","","","CNTAO"
"GENHOMAFE","GENTEEL HOME FURNITURE AND OBJECTS INC.","","","","","","","","PHMNL"
"WESFILSIN","WESQUIP FILTRATION FAR EAST PTE.LTD","","","","","","","","SGSIN"
"NSWPCDFLA","NSWC PCD C/O SAIC","","","","","","","","USFLA"
"BASINDAFE","BASSO INDUSTRY CORP.","","","","","","","","TWTPE"
"MASBECAOI","MASSIMILIANO BECUTI AROL S.P.A","","","","","","","","ITAOI"
"KIRCARMNL","KIRUBAE CARTOON PACKAGING & METAL FABRICATION","","","","","","","","PHMNL"
"PATPREAFE","PATHFINDER PRESS","","","","","","","","GAGAX"
"SHAORIMNLAFE","SHANGHAI ORIENTAL TEXTILE CORPORATION","","","","","","","","PHMNL"
"GRUCACBCN","GRUPO CACAOLAT SL.","","","","","","","","ESBCN"
"SONPICDGG","SONY PICTURES ENTERTAINMENT","","","","","","","","CNDGG"
"DURTECFRA","DÜRR TECHNIK GMBH & CO. KG","","","","","","","","DEFRA"
"HEBSHEHES","HEBEI SHENGXIN METAL PRODUCTS CO.LTD.","","","","","","","","CNHES"
"MSMVIEAFE","MSM SERVICES, S.R.O.","","","","","","","","ATVIE"
"ZHEMINTZO","ZHEJIANG MINGOU TECHNOLOGY CO.,LTD.","","","","","","","","CNTZO"
"HELHKGAFE","HELU-TRANS (HK) PTE LTD","","","","","","","","HKHKG"
"MALHKGAFE","MALCA-AMIT FAR EAST LTD","","","","","","","","HKHKG"
"JOLFOOMNL2","JOLLIBEE FOODS CORPORATION","","","","","","","","PHMNL"
"DEC8SIBKK","DECOR 8 SIAM CO., LTD","","","","","","","","THBKK"
"NADFIGUBT","NADIR FIGUEIREDO S.A.","","","","","","","","BRUBT"
"SHUVIETNT","SHUBDAD (VIETNAM) INDUSTRIAL COMPANY LIMITED","","","","","","","","VNTNT"
"LABSARNVF","LABORATOIRE SARBEC","","","","","","","","FRNVF"
"ECDAUGMNL1","E.C. DAUGHSON INC.","","","","","","","","PHMNL"
"BIGDAMSRG1","PT. BIGGA DAMAI UTAMA","","","","","","","","IDSRG"
