"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"ZHOSAQZGA","ZHONGSHAN SAQIANG IMPORT AND EXPORT TRADING CO.,LTD.","","","","","","","","CNZGA"
"XUZCONXUZ","XUZHOU CONSTRUCTION MACHINERY GROUP IMP. & EXP. CO., LTD.","","","","","","","","CNXZH"
"VIKSOLAMD","VIKRAM SOLUTIONS","","","","","","","","INAMD"
"MSCWARJFK","MSC WAREHOUSE","","","","","","","","USJFK"
"ZHOUNIAFE","ZHONGZHAN UNION INTERNATIONAL","","","","","","","","CNBJS"
"RUSTITQIW","RUSKIN TITUS GULF MANUFACTURING LLC","","","","","","","","AEQIW"
"HALCHISHA","HALMA CHINA GROUP","","","","","","","","CNSGH"
"MARCHRSYD","MARIA CHRISTINA GEMA ROXAS","","","","","","","","AUSYD"
"SHITIASHA","SHIJIAZHUANG TIANZEHENG TRADE CO. LTD","","","","","","","","CNSHA"
"VITMIXCLE","VITA-MIX CORPORATION","","","","","","","","USCLE"
"PRIFREJKT1","PT. PRIME FREIGHT INDONESIA","","","","","","","","IDJKT"
"VENREMQSL","VENUS REMEDIES LIMITED","","","","","","","","INQSL"
"NINGMFNGB","NINGBO GMF TELECOM TECHNOLOGY CO.,LTD","","","","","","","","CNNBO"
"MIWSOUSIN","MIWE SOUTH EAST ASIA PTE LTD","","","","","","","","SGSIN"
"PARINDDEL","PARVEEN INDUSTRIES PVT. LTD.","","","","","","","","INDEL"
"LEGREMHIP","LEGENCY REMEDIES (PVT) LTD","","","","","","","","INHIP"
"SHEASINSA","SHENZHEN ASIA STARTRANS IMPORT & EXPORTS CO LTD","","","","","","","","CNNSA"
"SHADAOSZV","SHANGHAI DAOQIN INTERNATIONAL TRADING CO., LTD.","","","","","","","","CNSZH"
"HARINTSHA","HARDROC INTERNAT","","","","","","","","CNSGH"
"PROLEDAFE","PRO LED","","","","","","","","ILTLV"
"GIVFLAMEA","GIVAUDAN FLAVOURS & FRAGRANCES MALAYSIA SDN BHD","","","","","","","","MYMEA"
"ZARATEMNL","ZARATE MANILA","","","","","","","","PHMNL"
"CURRAXHAM","CURRAX GMBH & CO. KG","","","","","","","","DEHAM"
"FLOSTRAFE","FLORINDA STROOBANT","","","","","","","","PHMNL"
"TRACHOPAS","TRADERS CHOICE GENERAL MERCHANDISE","","","","","","","","PHPAS"
"OPPMANHKG","OPPORTUNITY MANAGEMENT GROUP LTD","","","","","","","","HKHKG"
"BIOKINSAD","BIOBASE KINGS CO.,LTD","","","","","","","","CNSAD"
"IROBAKDTM","IRONSHINE BAKING SERVICES","","","","","","","","DEDTM"
"AIRTREPNY","AIRA TREX SOLUTIONS (I) PVT. LTD,","","","","","","","","INPNY"
"QEMINTIAH","QEMI INTERNATIONAL INC.","","","","","","","","USHOU"
"AUSPUMSZG","AUSTRIA PUMA DASSLER GMBH","","","","","","","","ATSZG"
"ASIAGRBKK","ASIATIC AGRO INDUSTRY CO., LTD.","","","","","","","","THBKK"
"TEREOSZHQ","TEREOS","","","","","","","","FRZHQ"
"ARRASISZX","ARRAY ASIA LTD.","","","","","","","","CNSNZ"
"IMPINDSHW","IMPROVE INDUSTRIAL (HONGKONG) CO., LIMITE","","","","","","","","HKSHW"
"EURAMASEL","EURAMA CORPORATION","","","","","","","","KRSEL"
"DONELEMNL","DONGSHENG ELECTRONICS PHILIPPINES CORPORATION","","","","","","","","PHMNL"
"CHIHUNLAX","CHILDREN'S HUNGER FUND","","","","","","","","USLAX"
"CARINDMNL1","CARBONMASTER INDUSTRIAL SALES INC.","","","","","","","","PHMNL"
"TIMLIGNSA","TIMES LIGHTING (SHENZHEN) CO. LTD.","","","","","","","","CNNSA"
"ZHOYUCSHK","ZHONGSHAN YUCHENG SOLAR TECHNOLOGY CO.,LTD.","","","","","","","","CNSHK"
"ENERECSFO","ENERGY RECOVERY, INC.","","","","","","","","USSFO"
"ECORECMAA","ECOSTER RECYCLING SYSTEMS","","","","","","","","INMAA"
"SHASUMSHA1","SHANGHAI SUMITOMO WAREHOUSING CO., LTD. (SWSH)","","","","","","","","CNSGH"
"GUAJEFCAN","GUANGDONG JE FURNITURE CO.,LTD.","","","","","","","","CNGGZ"
"LYNTRAMNL","LYNSYSTEM TRADING","","","","","","","","PHMNL"
"ULTFORALY","ULTRA FOR MEDICAL PRODUCTS CO. (ULTRAMED)","","","","","","","","EGALY"
"BAZCITBAZ","BAZHOU CITY MOONTOP FURNITURE CO.,LTD","","","","","","","","CNBAZ"
"SMITESRMI","SMI TESSUTI S.P.A","","","","","","","","ITRMI"
"ATLCOPORB","ATLAS COPCO ROCK DRILLS AB","","","","","","","","SEORB"
"LODTECSHZ","LODESTINE TECHNOLOGIES SHENZHEN LTD","","","","","","","","CHSHZ"
"BETFIBBKK","BETTERBELL FIBER (THAILAND) CO., LTD","","","","","","","","THBKK"
"COMTHABKK","COMPEQ THAILAND CO. LTD","","","","","","","","THBKK"
"FASMARJMN","FAST MARINE EQUIPMENT (HONG KONG) LIMITED","","","","","","","","CNJMN"
"FIERREGOA","FIERRE S.R.L.","","","","","","","","ITGOA"
"STYINDPNA","STYLAM INDUSTIRES LIMITED","","","","","","","","INPNA"
"CTTECHMNL","CT-TECHNOLOGIES INC.","","","","","","","","PHMNL"
"TAKSANAFE","TAKACHIHO SANGYO CO LTD","","","","","","","","JPNGO"
"MARGLOMNL","MARDAK GLOBAL EXPORT INC.","","","","","","","","PHMNL"
"COREXPMNL","CORDILLERA EXPLORATION CO., INC.","","","","","","","","PHMNL"
"WINPHIMNL","WINTOPIA PHILKO MANUFACTURING INC.","","","","","","","","PHMNL"
"GRILEOPMO","GRIPPI LEONARDO","","","","","","","","ITPMO"
"KOTELETYO","KOTO ELECTRIC CO., LTD.","","","","","","","","JPTYO"
"HSCOMHAN","HS COMPANY LIMITED","","","","","","","","VNHAN"
"SANMIGMAFE","SAN MIGUEL YAMAMURA PACKAGING CORPORATION","","","","","","","","PHMNL"
"GATRUBSIN","GATES RUBBER COMPANY (S) PTE LTD","","","","","","","","SGSIN"
