Code,Description
DIM,Direct Importer
TMI,Trader / Merchant
MIM,Manufacturer
DIS,Distributor
RIM,Retailer
BAI,Broker / Agent
OII,Occasional Importer
PBI,PEZA / BOI Registered Importer
IPI,Individual / Personal Importer
